       value	     chindex	     chlabel	        bini	  binlabel	ERPset
       0.863	           1	        E104	         522	06_:_30302	
     -16.918	           1	        E104	         523	06_:_30303	
      -1.846	           1	        E104	         524	06_:_30304	
      30.013	           1	        E104	         525	06_:_30305	
      11.318	           1	        E104	         526	06_:_30306	
     -23.161	           1	        E104	         527	06_:_30307	
       3.532	           1	        E104	         528	06_:_30308	
      -8.987	           1	        E104	         529	06_:_30309	
       2.734	           1	        E104	         530	06_:_30310	
      12.838	           1	        E104	         531	06_:_30401	
       1.430	           1	        E104	         532	06_:_30402	
       7.404	           1	        E104	         533	06_:_30403	
      17.624	           1	        E104	         534	06_:_30404	
      35.001	           1	        E104	         535	06_:_30405	
      22.725	           1	        E104	         536	06_:_30406	
      10.181	           1	        E104	         537	06_:_30407	
       7.619	           1	        E104	         538	06_:_30408	
      23.974	           1	        E104	         539	06_:_30409	
      26.453	           1	        E104	         540	06_:_30410	
      -1.735	           1	        E104	         541	06_:_30501	
      53.414	           1	        E104	         542	06_:_30502	
      -1.349	           1	        E104	         543	06_:_30503	
       6.133	           1	        E104	         544	06_:_30504	
     -26.326	           1	        E104	         545	06_:_30505	
      26.406	           1	        E104	         546	06_:_30506	
      -6.568	           1	        E104	         547	06_:_30507	
     -20.151	           1	        E104	         548	06_:_30508	
       9.800	           1	        E104	         549	06_:_30509	
      17.616	           1	        E104	         550	06_:_30510	
     -19.477	           1	        E104	         551	06_:_60101	
     -16.128	           1	        E104	         552	06_:_60102	
     -13.274	           1	        E104	         553	06_:_60103	
      -4.376	           1	        E104	         554	06_:_60104	
     -39.257	           1	        E104	         555	06_:_60105	
      -7.082	           1	        E104	         556	06_:_60106	
     -20.947	           1	        E104	         557	06_:_60107	
       4.178	           1	        E104	         558	06_:_60108	
     -14.015	           1	        E104	         559	06_:_60109	
     -31.687	           1	        E104	         560	06_:_60110	
     -16.610	           1	        E104	         561	06_:_60201	
      -0.915	           1	        E104	         562	06_:_60202	
     -37.309	           1	        E104	         563	06_:_60203	
     -36.061	           1	        E104	         564	06_:_60204	
     -30.070	           1	        E104	         565	06_:_60205	
       1.003	           1	        E104	         566	06_:_60206	
     -29.073	           1	        E104	         567	06_:_60207	
       2.762	           1	        E104	         568	06_:_60208	
      -8.358	           1	        E104	         569	06_:_60209	
     -24.926	           1	        E104	         570	06_:_60210	
      -8.408	           1	        E104	         571	06_:_60301	
     -34.607	           1	        E104	         572	06_:_60302	
     -33.327	           1	        E104	         573	06_:_60303	
      -4.446	           1	        E104	         574	06_:_60304	
     -40.964	           1	        E104	         575	06_:_60305	
       1.126	           1	        E104	         576	06_:_60306	
      -4.371	           1	        E104	         577	06_:_60307	
     -38.670	           1	        E104	         578	06_:_60308	
      -1.726	           1	        E104	         579	06_:_60309	
      -0.244	           1	        E104	         580	06_:_60310	
      35.378	           1	        E104	         581	06_:_60401	
       2.538	           1	        E104	         582	06_:_60402	
     -12.626	           1	        E104	         583	06_:_60403	
       9.105	           1	        E104	         584	06_:_60404	
      -6.111	           1	        E104	         585	06_:_60405	
      21.677	           1	        E104	         586	06_:_60406	
